,session_id,mall_id,lat,lng,activity,uniqueCount,totActiveDays,home_lat,home_long,mallidNearHome,work_lat,work_long,mallidNearWork,home_office_dist,one_home_dist,one_work_dist
63,148192230864794,1043,41.041405,28.997549,Residence,1,7,41.04118493,28.99684199,1043,41.03983871,28.98469353,1095,1.03,0.06,1.09
64,148192230864794,1095,41.040092,28.987194,Residence,1,7,41.04118493,28.99684199,1043,41.03983871,28.98469353,1095,1.03,0.82,0.21
90,148195221479171,1014,39.911747,32.811314,Work,2,7,39.93866175,32.64536066,0,39.90945902,32.81289824,1014,14.67,14.48,0.29
91,148195277963638,56,39.970699,32.714779,Residence,1,7,39.97408222,32.70935313,0,39.97408222,32.70935313,0,0,0.6,0.6
114,148195926782378,84,40.96933,29.091743,Residence,2,7,37.88415256,32.49020209,0,37.87093565,32.4864947,0,1.51,450.86,451.79
136,148196755273880,74,41.053925,28.79114,Residence,2,7,41.0515234,28.79223454,74,41.0515234,28.79223454,74,0,0.28,0.28
162,148197468073872,1074,40.955952,29.08083,Residence,6,7,40.95630843,29.08243194,1074_1016,40.95630843,29.08243194,1074_1016,0,0.14,0.14
220,148199658755221,72,41.001488,29.054775,Work,3,7,41.00451326,29.05289035,72,41.00451326,29.05289035,72,0,0.37,0.37
221,148199658755221,72,41.001488,29.054775,Residence,3,7,41.00451326,29.05289035,72,41.00451326,29.05289035,72,0,0.37,0.37
239,148200836344520,78,41.086391,28.982019,Residence,3,7,41.08352616,28.98077522,78,41.06528221,29.00860357,76,3.09,0.34,3.24
242,148201048334851,74,41.053925,28.79114,Work,1,7,41.05352476,28.79573773,74,41.05352476,28.79573773,74,0,0.39,0.39
280,148204179406998,1024,41.010406,28.969629,Work,4,7,41.09919128,28.8781769,0,41.01422785,28.9708573,1024,12.25,12.51,0.44
285,148204618532984,72,41.001488,29.054775,Work,1,7,41.00439107,29.05077864,72,41.00439107,29.05077864,72,0,0.47,0.47
