"","session_id","mall_id","activity"
"543",148248188774019,1102,"Work"
"544",148248505298033,78,"Work"
"545",148250061662232,1023,"Residence"
"546",148251186283135,1039,"Work"
"547",148251212774127,1002,"Work"
"548",148256466383257,26,"Work"
"549",148258705157663,90,"Residence"
"550",148258705157663,90,"Work"
"551",148258830332060,73,"Residence"
"552",148261633898294,1063,"Residence"
"553",148266010362612,34,"Residence"
"554",148266010362612,34,"Work"
"555",148266535719814,35,"Residence"
"556",148268478198693,25,"Residence"
"557",148268478198693,1049,"Residence"
"558",148268968779492,1061,"Residence"
"559",148269566227524,90,"Work"
"560",148269613881207,1067,"Work"
"561",148272625304365,1008,"Residence"
"562",148272625304365,1008,"Work"
"563",148272625304365,1009,"Work"
"564",148273907455854,26,"Work"
"565",148273907455854,76,"Residence"
"566",148273907455854,76,"Work"
"567",148274861815134,66,"Residence"
"568",148276609807325,76,"Work"
"569",148276757853979,1077,"Work"
"570",148277760933139,1059,"Work"
"571",148279404176446,30,"Work"
"572",148282572453346,30,"Residence"
"573",148282652228101,82,"Work"
"574",148282692986893,30,"Work"
"575",148283310401993,1064,"Work"
"576",148283823521879,36,"Residence"
"577",148284177404211,1047,"Residence"
"578",148284177404211,1047,"Work"
"579",148284642150176,1069,"Residence"
"580",148284642150176,1069,"Work"
"581",148284948818520,21,"Residence"
"582",148284948818520,21,"Work"
"583",148287554573108,79,"Work"
"584",148289059564031,77,"Residence"
"585",148291270521207,92,"Residence"
"586",148291502500201,1054,"Residence"
"587",148291735704705,61,"Residence"
"588",148293867027227,82,"Work"
"589",148294411447015,62,"Residence"
"590",148297517637867,1121,"Residence"
"591",148299239759276,35,"Work"
"592",148300078339001,82,"Work"
"593",148300701092016,26,"Work"
"594",148301692798809,72,"Residence"
"595",148303529978418,1077,"Residence"
"596",148303529978418,1077,"Work"
"597",148311774444537,77,"Residence"
"598",148311836881324,1071,"Residence"
"599",148312873118008,76,"Residence"
"600",148330033927570,82,"Residence"
"601",148345835654049,26,"Residence"
"602",148345835654049,26,"Work"
"603",148352286132582,87,"Work"
"604",148354477256531,1057,"Residence"
"605",148356710748656,27,"Work"
"606",148369381895449,1046,"Work"
"607",148369381895449,1071,"Residence"
"608",148369544421241,79,"Work"
"609",148369544421241,1067,"Work"
"610",148369786168191,55,"Residence"
"611",148370196440205,1048,"Work"
"612",148370642971813,1033,"Residence"
"613",148370642971813,1123,"Work"
"614",148370795504179,37,"Work"
"615",148371193329087,1082,"Residence"
"616",148371350702935,77,"Residence"
"617",148371709570570,34,"Work"
"618",148371840095509,82,"Residence"
"619",148372020787061,34,"Work"
"620",148372020787061,80,"Work"
"621",148372030132069,72,"Work"
"622",148372123044320,30,"Work"
"623",148372362254444,1074,"Work"
"624",148372502212591,24,"Work"
"625",148373072320927,79,"Residence"
"626",148373072320927,79,"Work"
"627",148373120539669,1023,"Residence"
"628",148373484706245,1059,"Residence"
"629",148373548361244,77,"Residence"
"630",148373683127086,1064,"Work"
"631",148373844231666,92,"Residence"
"632",148373847649009,74,"Residence"
"633",148373854521230,76,"Residence"
"634",148373854521230,1048,"Work"
"635",148374051533646,77,"Residence"
"636",148374059654673,26,"Work"
"637",148374623288610,25,"Residence"
"638",148375544139717,1063,"Residence"
"639",148376209096074,36,"Residence"
"640",148376567344301,31,"Residence"
"641",148376838401057,1121,"Residence"
"642",148376838401057,1121,"Work"
"643",148376855191572,1074,"Work"
"644",148377884737037,72,"Work"
"645",148378440331477,23,"Residence"
"646",148379229554449,37,"Residence"
"647",148379768640386,1069,"Residence"
"648",148379768640386,1069,"Work"
"649",148381818233709,93,"Residence"
